Time	epochs	Loss	Accuracy	learning_rate
17:01:06	120	0.0121	0.7364	0.00001
17:01:06	121	0.0124	0.7091	0.00001
17:01:06	122	0.0120	0.7182	0.00001
17:01:06	123	0.0119	0.7273	0.00001
17:01:06	124	0.0117	0.7455	0.00001
17:01:06	125	0.0106	0.7273	0.00001
17:01:06	126	0.0108	0.7273	0.00001
17:01:06	127	0.0113	0.7273	0.00001
17:01:06	128	0.0112	0.7182	0.00001
17:01:06	129	0.0104	0.7364	0.00001
17:01:06	130	0.0111	0.7455	0.00001
17:01:06	131	0.0109	0.7545	0.00001
17:01:06	132	0.0105	0.7364	0.00001
17:01:06	133	0.0105	0.7364	0.00001
17:01:06	134	0.0107	0.7364	0.00001
17:01:06	135	0.0105	0.7364	0.00001
17:01:06	136	0.0102	0.7364	0.00001
17:01:06	137	0.0108	0.7364	0.00001
17:01:06	138	0.0105	0.7273	0.00001
17:01:06	139	0.0108	0.7273	0.00001
17:01:06	140	0.0111	0.7273	0.00001
17:01:06	141	0.0103	0.7273	0.00001
17:01:06	142	0.0101	0.7273	0.00001
17:01:06	143	0.0099	0.7364	0.00001
17:01:06	144	0.0100	0.7364	0.00001
17:01:06	145	0.0099	0.7091	0.00001
17:01:06	146	0.0101	0.7455	0.00001
17:01:06	147	0.0093	0.7364	0.00001
17:01:06	148	0.0097	0.7364	0.00001
17:01:06	149	0.0099	0.7364	0.00001
17:01:06	150	0.0102	0.7091	0.00001
17:01:06	151	0.0097	0.7273	0.00001
17:01:06	152	0.0096	0.7182	0.00001
17:01:06	153	0.0118	0.7364	0.00001
17:01:06	154	0.0143	0.7364	0.00001
17:01:06	155	0.0126	0.6909	0.00001
17:01:06	156	0.0111	0.6909	0.00001
17:01:06	157	0.0097	0.6818	0.00001
17:01:06	158	0.0100	0.7364	0.00001
17:01:06	159	0.0104	0.7000	0.00001
17:01:06	160	0.0102	0.7091	0.00001
17:01:06	161	0.0100	0.7000	0.00001
17:01:06	162	0.0101	0.6909	0.00001
17:01:06	163	0.0105	0.6818	0.00001
17:01:06	164	0.0105	0.6727	0.00001
17:01:06	165	0.0105	0.7364	0.00001
17:01:06	166	0.0105	0.7000	0.00001
17:01:06	167	0.0112	0.7000	0.00001
17:01:06	168	0.0110	0.7091	0.00001
17:01:06	169	0.0101	0.7091	0.00001
17:01:06	170	0.0107	0.7091	0.00001
17:01:06	171	0.0101	0.7091	0.00001
17:01:06	172	0.0100	0.7091	0.00001
17:01:06	173	0.0105	0.7091	0.00001
17:01:06	174	0.0105	0.7000	0.00001
17:01:06	175	0.0104	0.7091	0.00001
17:01:06	176	0.0107	0.7000	0.00001
17:01:06	177	0.0098	0.7091	0.00001
17:01:06	178	0.0098	0.7091	0.00001
17:01:06	179	0.0101	0.7000	0.00001
17:01:06	180	0.0098	0.7000	0.00001
17:01:06	181	0.0096	0.6909	0.00001
17:01:06	182	0.0099	0.7091	0.00001
17:01:06	183	0.0102	0.7091	0.00001
17:01:06	184	0.0098	0.7091	0.00001
17:01:06	185	0.0102	0.6909	0.00001
17:01:06	186	0.0096	0.6909	0.00001
17:01:06	187	0.0095	0.7091	0.00001
17:01:06	188	0.0099	0.7091	0.00001
17:01:06	189	0.0096	0.7000	0.00001
17:01:06	190	0.0096	0.7091	0.00001
17:01:06	191	0.0092	0.6909	0.00001
17:01:06	192	0.0099	0.7000	0.00001
17:01:06	193	0.0087	0.7091	0.00001
17:01:06	194	0.0092	0.7000	0.00001
17:01:06	195	0.0093	0.6909	0.00001
17:01:06	196	0.0093	0.6909	0.00001
17:01:06	197	0.0094	0.7091	0.00001
17:01:06	198	0.0090	0.7000	0.00001
17:01:06	199	0.0090	0.7091	0.00001
