Time	epochs	Loss	Accuracy	learning_rate
16:06:15	0	1.4585	0.5909	0.0010
16:06:15	1	0.6498	0.6636	0.0010
16:06:15	2	0.5593	0.6727	0.0010
16:06:15	3	0.3555	0.6545	0.0010
16:06:15	4	0.4888	0.4364	0.0010
16:06:15	5	0.4843	0.4545	0.0010
16:06:15	6	0.2809	0.6182	0.0010
16:06:15	7	0.1608	0.6636	0.0010
16:06:15	8	0.2337	0.7000	0.0010
16:06:15	9	1.2403	0.4182	0.0010
16:06:15	10	0.1589	0.6636	0.0010
16:06:15	11	0.1600	0.6909	0.0010
16:06:15	12	0.2099	0.6273	0.0010
16:06:15	13	0.1795	0.7000	0.0010
16:06:15	14	0.1156	0.7182	0.0010
16:06:15	15	0.2811	0.6636	0.0010
16:06:15	16	0.2089	0.5455	0.0010
16:06:15	17	0.2345	0.6091	0.0010
16:06:15	18	0.0859	0.6636	0.0010
16:06:15	19	0.0936	0.7091	0.0010
16:06:15	20	0.1020	0.6545	0.0010
16:06:15	21	0.1227	0.6909	0.0010
16:06:15	22	0.1376	0.6545	0.0010
16:06:15	23	0.1203	0.6727	0.0010
16:06:15	24	0.0935	0.6636	0.0010
16:06:15	25	0.0968	0.6727	0.0010
16:06:15	26	0.0967	0.6909	0.0010
16:06:15	27	0.0846	0.7273	0.0010
16:06:15	28	0.0868	0.7273	0.0010
16:06:15	29	0.0821	0.7091	0.0010
16:06:15	30	0.0875	0.7000	0.0010
16:06:15	31	0.0740	0.7000	0.0010
16:06:15	32	0.0741	0.7000	0.0010
16:06:15	33	0.0741	0.7091	0.0010
16:06:15	34	0.0717	0.7091	0.0010
16:06:15	35	0.0734	0.7091	0.0010
16:06:15	36	0.0694	0.7273	0.0010
16:06:15	37	0.0687	0.7000	0.0010
16:06:15	38	0.0654	0.7182	0.0010
16:06:15	39	0.0615	0.7273	0.0010
16:06:15	40	0.0611	0.7182	0.0010
16:06:15	41	0.0638	0.7273	0.0010
16:06:15	42	0.0603	0.7273	0.0010
16:06:15	43	0.0579	0.7182	0.0010
16:06:15	44	0.0564	0.7091	0.0010
16:06:15	45	0.0625	0.7182	0.0010
16:06:15	46	0.0599	0.7182	0.0010
16:06:15	47	0.0613	0.7091	0.0010
16:06:15	48	0.0586	0.7182	0.0010
16:06:15	49	0.0576	0.7091	0.0010
16:06:15	50	0.0530	0.7182	0.0010
16:06:15	51	0.0549	0.7182	0.0010
16:06:15	52	0.0535	0.7091	0.0010
16:06:15	53	0.0523	0.7182	0.0010
16:06:15	54	0.0505	0.7182	0.0010
16:06:15	55	0.0515	0.7182	0.0010
16:06:15	56	0.0523	0.7000	0.0010
16:06:15	57	0.0472	0.7091	0.0010
16:06:15	58	0.0465	0.7182	0.0010
16:06:15	59	0.0480	0.7182	0.0010
16:06:15	60	0.0487	0.6727	0.0010
16:06:15	61	0.0465	0.7091	0.0010
16:06:15	62	0.0458	0.7000	0.0010
16:06:15	63	0.0461	0.7273	0.0010
16:06:15	64	0.0453	0.7273	0.0010
16:06:15	65	0.0440	0.7273	0.0010
16:06:15	66	0.0391	0.7091	0.0010
16:06:15	67	0.0428	0.7091	0.0010
16:06:15	68	0.0423	0.7091	0.0010
16:06:15	69	0.0417	0.7000	0.0010
16:06:15	70	0.0398	0.7182	0.0010
16:06:15	71	0.0409	0.7182	0.0010
16:06:15	72	0.0419	0.7091	0.0010
16:06:15	73	0.0371	0.7091	0.0010
16:06:15	74	0.0396	0.7182	0.0010
16:06:15	75	0.0392	0.7000	0.0010
16:06:15	76	0.0394	0.7091	0.0010
16:06:15	77	0.0364	0.6909	0.0010
16:06:15	78	0.0373	0.6909	0.0010
16:06:15	79	0.0354	0.7091	0.0010
16:06:15	80	0.0368	0.7000	0.0010
16:06:15	81	0.0355	0.7273	0.0010
16:06:15	82	0.0389	0.7000	0.0010
16:06:15	83	0.0351	0.7091	0.0010
16:06:15	84	0.0365	0.7000	0.0010
16:06:15	85	0.0354	0.7000	0.0010
16:06:15	86	0.0345	0.6909	0.0010
16:06:15	87	0.0334	0.7000	0.0010
16:06:15	88	0.0333	0.7091	0.0010
16:06:15	89	0.0382	0.6364	0.0010
16:06:15	90	0.0343	0.6364	0.0010
16:06:15	91	0.0348	0.6727	0.0010
16:06:15	92	0.0319	0.6727	0.0010
16:06:15	93	0.0328	0.6727	0.0010
16:06:15	94	0.0328	0.6727	0.0010
16:06:15	95	0.0335	0.6727	0.0010
16:06:15	96	0.0322	0.7182	0.0010
16:06:15	97	0.0334	0.6727	0.0010
16:06:15	98	0.0318	0.6818	0.0010
16:06:15	99	0.0313	0.6727	0.0010
