Time	epochs	Loss	Accuracy	learning_rate
18:17:05	0	17.0772	0.3818	0.0010
18:17:05	1	0.7544	0.6273	0.0010
18:17:05	2	0.7015	0.5091	0.0010
18:17:05	3	0.4128	0.6000	0.0010
18:17:05	4	0.2710	0.7000	0.0010
18:17:05	5	0.3077	0.6273	0.0010
18:17:05	6	0.3023	0.6455	0.0010
18:17:05	7	0.3633	0.5364	0.0010
18:17:05	8	0.4704	0.6182	0.0010
18:17:05	9	0.1518	0.7000	0.0010
18:17:05	10	0.4891	0.6273	0.0010
18:17:05	11	0.2231	0.6000	0.0010
18:17:05	12	0.1451	0.6364	0.0010
18:17:05	13	0.5103	0.4091	0.0010
18:17:05	14	0.0932	0.7727	0.0010
18:17:05	15	0.0986	0.7273	0.0010
18:17:05	16	0.0883	0.7727	0.0010
18:17:05	17	0.0757	0.7727	0.0010
18:17:05	18	0.0796	0.7455	0.0010
18:17:05	19	0.0713	0.7818	0.0010
18:17:05	20	0.0704	0.8000	0.0010
18:17:05	21	0.0652	0.8000	0.0010
18:17:05	22	0.0648	0.7818	0.0010
18:17:05	23	0.0672	0.7455	0.0010
18:17:05	24	0.0642	0.7455	0.0010
18:17:05	25	0.0623	0.8000	0.0010
18:17:05	26	0.0542	0.7818	0.0010
18:17:05	27	0.0554	0.7727	0.0010
18:17:05	28	0.0572	0.7636	0.0010
18:17:05	29	0.0502	0.7909	0.0010
18:17:05	30	0.0465	0.7909	0.0010
18:17:05	31	0.0474	0.7909	0.0010
18:17:05	32	0.0449	0.8182	0.0010
18:17:05	33	0.0435	0.7818	0.0010
18:17:05	34	0.0427	0.7909	0.0010
18:17:05	35	0.0395	0.8091	0.0010
18:17:05	36	0.0382	0.8091	0.0010
18:17:05	37	0.0394	0.8182	0.0010
18:17:05	38	0.0380	0.8000	0.0010
18:17:05	39	0.0378	0.8000	0.0010
18:17:05	40	0.0375	0.8000	0.0010
18:17:05	41	0.0344	0.8000	0.0010
18:17:05	42	0.0326	0.7909	0.0010
18:17:05	43	0.0339	0.7909	0.0010
18:17:05	44	0.0327	0.7909	0.0010
18:17:05	45	0.0332	0.7909	0.0010
18:17:05	46	0.0324	0.7909	0.0010
18:17:05	47	0.0326	0.7818	0.0010
18:17:05	48	0.0291	0.7818	0.0010
18:17:05	49	0.0302	0.7818	0.0010
18:17:05	50	0.0301	0.7909	0.0010
18:17:05	51	0.0315	0.7818	0.0010
18:17:05	52	0.0296	0.8000	0.0010
18:17:05	53	0.0299	0.8000	0.0010
18:17:05	54	0.0279	0.8000	0.0010
18:17:05	55	0.0278	0.8000	0.0010
18:17:05	56	0.0283	0.8000	0.0010
18:17:05	57	0.0270	0.8000	0.0010
18:17:05	58	0.0263	0.8000	0.0010
18:17:05	59	0.0262	0.8000	0.0010
18:17:05	60	0.0266	0.7909	0.0010
18:17:05	61	0.0255	0.7909	0.0010
18:17:05	62	0.0255	0.7909	0.0010
18:17:05	63	0.0247	0.7909	0.0010
18:17:05	64	0.0247	0.8000	0.0010
18:17:05	65	0.0232	0.7909	0.0010
18:17:05	66	0.0222	0.8000	0.0010
18:17:05	67	0.0218	0.8000	0.0010
18:17:05	68	0.0217	0.8000	0.0010
18:17:05	69	0.0214	0.8091	0.0010
18:17:05	70	0.0203	0.8091	0.0010
18:17:05	71	0.0205	0.8091	0.0010
18:17:05	72	0.0207	0.8000	0.0010
18:17:05	73	0.0195	0.8091	0.0010
18:17:05	74	0.0187	0.8091	0.0010
18:17:05	75	0.0204	0.8091	0.0010
18:17:05	76	0.0210	0.8091	0.0010
18:17:05	77	0.0205	0.8091	0.0010
18:17:05	78	0.0191	0.8091	0.0010
18:17:05	79	0.0185	0.8091	0.0010
18:17:05	80	0.0207	0.8182	0.0010
18:17:05	81	0.0186	0.8182	0.0010
18:17:05	82	0.0190	0.8182	0.0010
18:17:05	83	0.0190	0.8273	0.0010
18:17:05	84	0.0162	0.8273	0.0010
18:17:05	85	0.0165	0.8364	0.0010
18:17:05	86	0.0168	0.8091	0.0010
18:17:05	87	0.0166	0.8091	0.0010
18:17:05	88	0.0179	0.8000	0.0010
18:17:05	89	0.0167	0.8091	0.0010
18:17:05	90	0.0165	0.8091	0.0010
18:17:05	91	0.0186	0.7636	0.0010
18:17:05	92	0.0190	0.7727	0.0010
18:17:05	93	0.0182	0.7727	0.0010
18:17:05	94	0.0168	0.7727	0.0010
18:17:05	95	0.0146	0.8000	0.0010
18:17:05	96	0.0154	0.7909	0.0010
18:17:05	97	0.0143	0.7909	0.0010
18:17:05	98	0.0165	0.7727	0.0010
18:17:05	99	0.0166	0.7818	0.0010
